Column1;lesson_group_id;course_id;conspect_expected;task_expected;lesson_number;wk_max_points;wk_task_count;wk_survival_training_expected;wk_scratch_playground_enabled;wk_attendance_tracking_enabled;wk_video_duration
7;5511;755;ЛОЖЬ;ИСТИНА;1 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
269;5515;755;ЛОЖЬ;ИСТИНА;2 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
261;5518;755;ЛОЖЬ;ИСТИНА;3 ;7 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
273;5575;755;ЛОЖЬ;ИСТИНА;4 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
201;5576;755;ЛОЖЬ;ИСТИНА;5 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
278;5578;755;ЛОЖЬ;ИСТИНА;6 ;4 ;4 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
266;5581;755;ЛОЖЬ;ИСТИНА;7 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
263;5584;755;ЛОЖЬ;ЛОЖЬ;8 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
320;5587;755;ЛОЖЬ;ЛОЖЬ;9 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
328;5590;755;ЛОЖЬ;ЛОЖЬ;10 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
353;5595;755;ЛОЖЬ;ИСТИНА;11 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
186;5598;755;ЛОЖЬ;ИСТИНА;12 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
192;5601;755;ЛОЖЬ;ЛОЖЬ;13 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
193;5604;755;ЛОЖЬ;ЛОЖЬ;14 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
110;5607;755;ЛОЖЬ;ЛОЖЬ;15 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
51;5622;755;ЛОЖЬ;ИСТИНА;16 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
89;5625;755;ЛОЖЬ;ЛОЖЬ;17 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
100;5628;755;ЛОЖЬ;ЛОЖЬ;18 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
157;5631;755;ЛОЖЬ;ЛОЖЬ;19 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
146;5635;755;ЛОЖЬ;ЛОЖЬ;20 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
132;5638;755;ЛОЖЬ;ЛОЖЬ;21 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
97;5641;755;ЛОЖЬ;ЛОЖЬ;22 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
206;5644;755;ЛОЖЬ;ЛОЖЬ;23 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
268;5647;755;ЛОЖЬ;ЛОЖЬ;24 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
197;5650;755;ЛОЖЬ;ЛОЖЬ;25 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
211;5657;755;ЛОЖЬ;ЛОЖЬ;26 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
185;5661;755;ЛОЖЬ;ЛОЖЬ;27 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
224;5664;755;ЛОЖЬ;ЛОЖЬ;28 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
226;5667;755;ЛОЖЬ;ЛОЖЬ;29 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
194;5672;755;ЛОЖЬ;ЛОЖЬ;30 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
38;5633;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
54;5585;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
79;5630;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
103;5514;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
104;5517;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
128;5577;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
177;5658;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
180;5605;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;7 
183;5660;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
191;5659;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;7 
196;5580;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
207;5648;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
212;5662;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
223;5656;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
225;5665;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
227;5669;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
244;5642;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
262;5597;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;8 
265;5591;755;ЛОЖЬ;ЛОЖЬ;;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
272;5673;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
277;5516;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
280;5620;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
283;5621;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;10 
284;5507;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
285;5596;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
286;5510;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
291;5589;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;8 
299;5632;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
315;5599;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
321;5629;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
323;5586;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;7 
324;5606;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;8 
362;5583;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;1 
363;5634;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
364;5602;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;10 
367;5670;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
397;5519;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
398;5521;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
409;5603;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
424;5671;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
439;5513;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
462;5582;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
467;5592;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
471;5626;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;3 
479;5655;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
480;5623;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;11 
487;5522;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
501;5645;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
504;5600;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;8 
507;5663;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
508;5509;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
513;5594;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;3 
517;5636;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
518;5639;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
526;5579;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
527;5624;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
529;5627;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
533;5512;755;ЛОЖЬ;ЛОЖЬ;;0 ;0 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
537;5520;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
543;5588;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
544;5666;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
548;5640;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
550;5649;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
551;5643;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
557;5646;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
563;5668;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
565;5637;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
567;5593;755;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
63;5527;756;ЛОЖЬ;ИСТИНА;1 ;6 ;3 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
311;5530;756;ЛОЖЬ;ИСТИНА;2 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
87;5533;756;ЛОЖЬ;ИСТИНА;3 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
195;5537;756;ЛОЖЬ;ИСТИНА;4 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
74;5541;756;ЛОЖЬ;ИСТИНА;5 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
72;5545;756;ЛОЖЬ;ИСТИНА;6 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
94;5547;756;ЛОЖЬ;ИСТИНА;7 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
42;5608;756;ЛОЖЬ;ИСТИНА;8 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
105;5609;756;ЛОЖЬ;ИСТИНА;9 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
138;5676;756;ЛОЖЬ;ИСТИНА;10 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
139;5681;756;ЛОЖЬ;ИСТИНА;11 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
33;5684;756;ЛОЖЬ;ИСТИНА;12 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
141;5687;756;ЛОЖЬ;ИСТИНА;13 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
151;5690;756;ЛОЖЬ;ИСТИНА;14 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
188;5695;756;ЛОЖЬ;ИСТИНА;15 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
147;5698;756;ЛОЖЬ;ИСТИНА;16 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
247;5701;756;ЛОЖЬ;ИСТИНА;17 ;6 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
253;5704;756;ЛОЖЬ;ИСТИНА;18 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
267;5707;756;ЛОЖЬ;ИСТИНА;19 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
158;5710;756;ЛОЖЬ;ИСТИНА;20 ;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
155;5713;756;ЛОЖЬ;ЛОЖЬ;21 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
140;5716;756;ЛОЖЬ;ЛОЖЬ;22 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
176;5719;756;ЛОЖЬ;ЛОЖЬ;23 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
200;5722;756;ЛОЖЬ;ЛОЖЬ;24 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
204;5725;756;ЛОЖЬ;ЛОЖЬ;25 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
184;5729;756;ЛОЖЬ;ЛОЖЬ;26 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
214;5734;756;ЛОЖЬ;ЛОЖЬ;27 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
44;5738;756;ЛОЖЬ;ЛОЖЬ;28 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
46;5742;756;ЛОЖЬ;ЛОЖЬ;29 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
47;5745;756;ЛОЖЬ;ЛОЖЬ;30 ;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
18;5535;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
43;5746;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
80;5529;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
81;5540;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
85;5674;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;1 
109;5675;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
135;5677;756;ЛОЖЬ;ЛОЖЬ;;5 ;5 ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
145;5679;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
149;5688;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
159;5706;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;7 
172;5680;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
190;5700;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
209;5711;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
210;5702;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
215;5733;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
218;5539;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
220;5683;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
222;5736;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
259;5739;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
260;5741;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
275;5737;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
287;5682;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
288;5694;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;7 
292;5730;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
293;5743;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
294;5744;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
296;5717;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;3 
297;5723;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
298;5720;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
306;5544;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
308;5740;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
310;5525;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
313;5697;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
317;5689;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
326;5708;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
333;5728;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
336;5699;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;1 
338;5686;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;7 
343;5685;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
356;5709;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
359;5696;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;7 
371;5712;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;9 
374;5714;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;4 
377;5721;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
378;5724;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
379;5718;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
387;5715;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;8 
390;5732;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
392;5526;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
393;5532;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
394;5536;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
395;5531;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;
401;5549;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
407;5546;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
414;5726;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
426;5703;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
427;5693;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
433;5705;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;6 
434;5727;756;ЛОЖЬ;ЛОЖЬ;;;;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;5 
